Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
3D6624,815E,-52,-63,159,-9,0,99,19.7,52.16
3D6624,815E,-52,-61,182,-10,0,99,19.83,51.92
3D6624,815E,-52,-62,194,-10,0,99,19.77,51.86
3D6624,815E,-49,-62,162,-11,0,99,19.95,52.02
3D6624,815E,-51,-62,159,-11,0,99,20.01,51.97
3D6624,815E,-49,-61,157,-11,0,99,20.12,51.65
3D6624,815E,-49,-60,159,-10,0,99,20.27,51.44
3D6624,815E,-52,-60,157,-10,0,99,20.4,51.36
3D6624,815E,-59,-62,147,-10,0,99,20.51,51.18
3D6624,815E,-54,-66,139,-10,0,99,20.49,50.86
3D6624,815E,-51,-66,139,-10,0,99,20.52,50.47
3D6624,815E,-62,-66,142,-11,0,99,20.55,50.25
3D6624,815E,-56,-66,157,-11,0,99,20.54,49.94
3D6624,815E,-50,-64,154,-11,0,99,20.54,49.73
3D6624,815E,-52,-62,150,-10,0,99,20.53,49.61
3D6624,815E,-52,-64,132,-9,0,99,20.63,49.53
3D6624,815E,-50,-63,162,-10,0,99,20.78,49.42
3D6624,815E,-54,-63,177,-11,0,99,20.81,49.43
3D6624,815E,-50,-60,142,-9,0,99,20.76,49.27
3D6624,815E,-53,-61,164,-10,0,99,20.8,49.17
3D6624,815E,-53,-62,172,-10,0,99,20.8,49.07
3D6624,815E,-53,-64,127,-9,0,99,20.71,48.98
3D6624,815E,-53,-64,157,-10,0,99,20.81,49.02
3D6624,815E,-53,-64,162,-11,0,99,20.82,48.92
3D6624,815E,-53,-62,139,-9,0,99,20.93,48.83
3D6624,815E,-51,-62,177,-10,0,99,21.0,48.64
3D6624,815E,-53,-62,182,-10,0,99,21.04,48.46
3D6624,815E,-53,-63,157,-10,0,99,21.15,48.29
3D6624,815E,-53,-64,169,-11,0,99,21.23,48.2
3D6624,815E,-53,-64,172,-11,0,99,21.3,48.05
3D6624,815E,-50,-63,172,-10,0,99,21.34,47.89
3D6624,815E,-50,-61,164,-10,0,99,21.43,47.79
3D6624,815E,-54,-61,159,-10,0,99,21.49,47.73
3D6624,815E,-54,-62,152,-10,0,99,21.52,47.64
3D6624,815E,-52,-62,157,-10,0,99,21.65,47.54
3D6624,815E,-48,-62,159,-10,0,99,21.7,47.57
3D6624,815E,-52,-62,152,-11,0,99,21.73,47.63
3D6624,815E,-50,-63,150,-11,0,99,21.8,47.62
3D6624,815E,-46,-63,144,-12,0,99,21.97,47.43
3D6624,815E,-49,-63,139,-13,0,99,22.01,47.54
3D6624,815E,-49,-62,137,-14,0,99,22.14,47.65
3D6624,815E,-47,-62,142,-13,0,99,22.21,47.34
3D6624,815E,-49,-63,147,-13,0,99,22.22,46.9
3D6624,815E,-49,-63,154,-13,0,99,22.27,46.51
3D6624,815E,-54,-63,157,-12,0,99,22.21,46.2
3D6624,815E,-54,-63,154,-11,0,99,22.21,46.13
3D6624,815E,-54,-63,152,-11,0,99,22.21,46.26
3D6624,815E,-53,-63,164,-11,0,99,22.19,46.29
3D6624,815E,-53,-63,159,-12,0,99,22.21,46.39
3D6624,815E,-53,-63,159,-12,0,99,22.27,46.19
3D6624,815E,-53,-64,154,-11,0,99,22.14,46.05
3D6624,815E,-53,-64,157,-11,0,99,22.18,46.0
3D6624,815E,-50,-63,144,-11,0,99,22.16,46.02
3D6624,815E,-50,-64,142,-11,0,99,22.16,46.13
3D6624,815E,-48,-63,150,-12,0,99,22.16,46.28
3D6624,815E,-48,-63,150,-12,0,99,22.12,46.51
3D6624,815E,-44,-63,154,-14,0,99,22.22,46.79
3D6624,815E,-51,-64,159,-12,0,99,22.16,46.64
