Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
3D6624,815E,-34,-46,154,-11,0,99,21.43,39.32
3D6624,815E,-34,-45,204,-10,0,99,21.39,39.29
3D6624,815E,-31,-44,209,-10,0,99,21.37,39.24
3D6624,815E,-34,-44,209,-10,0,99,21.35,39.24
3D6624,815E,-34,-44,207,-10,0,99,21.38,39.24
3D6624,815E,-34,-44,197,-10,0,99,21.6,39.3
3D6624,815E,-32,-45,154,-11,0,99,21.53,39.19
3D6624,815E,-32,-44,157,-11,0,99,21.6,39.18
3D6624,815E,-32,-43,150,-11,0,99,21.82,39.06
3D6624,815E,-34,-43,167,-11,0,99,21.99,38.84
3D6624,815E,-31,-43,167,-11,0,99,21.81,38.66
3D6624,815E,-34,-43,169,-11,0,99,21.96,38.64
3D6624,815E,-31,-43,154,-11,0,99,21.92,38.6
3D6624,815E,-31,-43,152,-11,0,99,21.68,38.58
3D6624,815E,-34,-43,177,-11,0,99,21.43,38.86
3D6624,815E,-34,-44,184,-11,0,99,21.48,39.19
3D6624,815E,-34,-45,179,-11,0,99,21.51,39.38
3D6624,815E,-34,-45,159,-11,0,99,21.62,39.41
3D6624,815E,-34,-45,164,-11,0,99,21.47,39.33
3D6624,815E,-34,-45,164,-11,0,99,21.34,39.39
3D6624,815E,-34,-45,179,-11,0,99,21.35,39.59
3D6624,815E,-34,-45,189,-11,0,99,21.43,39.63
3D6624,815E,-32,-45,177,-11,0,99,21.33,39.6
3D6624,815E,-35,-45,177,-11,0,99,21.45,39.59
3D6624,815E,-33,-45,134,-11,0,99,21.51,39.58
3D6624,815E,-36,-44,159,-11,0,99,21.32,39.53
3D6624,815E,-34,-45,152,-11,0,99,21.38,39.57
3D6624,815E,-34,-45,179,-11,0,99,21.33,39.62
3D6624,815E,-34,-45,194,-11,0,99,21.03,39.75
3D6624,815E,-34,-45,184,-11,0,99,20.86,40.08
3D6624,815E,-31,-43,154,-11,0,99,20.72,40.39
3D6624,815E,-33,-43,159,-11,0,99,20.33,40.7
