Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
3D6624,815E,-41,-51,157,-11,0,99,17.72,55.13
3D6624,815E,-41,-52,189,-10,0,99,17.76,55.02
3D6624,815E,-41,-51,204,-10,0,99,17.75,55.02
3D6624,815E,-41,-51,202,-10,0,99,17.77,54.95
3D6624,815E,-41,-52,194,-11,0,99,17.69,54.91
3D6624,815E,-43,-53,177,-11,0,99,17.64,54.85
3D6624,815E,-43,-55,112,-13,0,99,17.63,54.96
3D6624,815E,-43,-56,147,-13,0,99,17.64,55.01
3D6624,815E,-43,-55,152,-11,0,99,17.61,55.14
3D6624,815E,-43,-55,157,-11,0,99,17.36,55.11
3D6624,815E,-43,-56,154,-12,0,99,17.32,55.29
3D6624,815E,-43,-56,154,-12,0,99,17.34,55.48
3D6624,815E,-43,-56,162,-12,0,99,17.39,55.54
3D6624,815E,-44,-55,164,-11,0,99,17.43,55.56
3D6624,815E,-41,-55,164,-12,0,99,17.52,55.51
3D6624,815E,-41,-54,154,-12,0,99,17.52,55.42
3D6624,815E,-41,-53,137,-12,0,99,17.37,55.37
3D6624,815E,-41,-52,177,-11,0,99,17.34,55.49
3D6624,815E,-41,-52,177,-11,0,99,17.35,55.6
3D6624,815E,-41,-52,177,-11,0,99,17.38,55.62
3D6624,815E,-41,-53,114,-13,0,99,17.33,55.68
3D6624,815E,-41,-54,182,-12,0,99,17.31,55.75
3D6624,815E,-41,-54,169,-12,0,99,17.26,55.8
3D6624,815E,-41,-54,169,-12,0,99,17.17,55.94
3D6624,815E,-41,-52,177,-11,0,99,17.14,56.1
3D6624,815E,-41,-52,189,-11,0,99,17.15,56.24
3D6624,815E,-41,-52,177,-12,0,99,17.18,56.34
3D6624,815E,-41,-53,114,-13,0,99,17.19,56.34
3D6624,815E,-41,-53,175,-12,0,99,17.21,56.35
3D6624,815E,-39,-53,177,-12,0,99,17.23,56.35
3D6624,815E,-39,-53,117,-13,0,99,17.26,56.22
3D6624,815E,-41,-52,177,-12,0,99,17.26,56.12
3D6624,815E,-41,-52,189,-12,0,99,17.28,56.13
3D6624,815E,-41,-52,177,-12,0,99,17.23,56.1
3D6624,815E,-41,-52,177,-12,0,99,17.28,56.13
3D6624,815E,-41,-52,175,-11,0,99,17.3,56.17
3D6624,815E,-41,-52,182,-10,0,99,17.29,56.2
3D6624,815E,-41,-52,172,-10,0,99,17.23,56.17
3D6624,815E,-41,-53,169,-12,0,99,17.23,56.15
3D6624,815E,-41,-52,134,-12,0,99,17.26,56.17
3D6624,815E,-41,-53,177,-12,0,99,17.15,56.26
3D6624,815E,-41,-52,179,-11,0,99,17.17,56.38
3D6624,815E,-41,-52,127,-12,0,99,17.18,56.46
3D6624,815E,-41,-51,134,-11,0,99,17.21,56.47
3D6624,815E,-41,-52,177,-11,0,99,17.12,56.45
3D6624,815E,-41,-52,192,-11,0,99,17.15,56.52
3D6624,815E,-41,-53,122,-12,0,99,17.15,56.53
3D6624,815E,-41,-53,175,-11,0,99,17.24,56.51
3D6624,815E,-39,-53,189,-12,0,99,17.24,56.44
3D6624,815E,-39,-52,175,-11,0,99,17.16,56.39
3D6624,815E,-41,-52,175,-11,0,99,17.23,56.49
3D6624,815E,-39,-52,192,-12,0,99,17.26,56.53
3D6624,815E,-39,-52,177,-12,0,99,17.2,56.51
3D6624,815E,-39,-52,177,-12,0,99,17.18,56.39
3D6624,815E,-39,-52,122,-13,0,99,17.2,56.37
3D6624,815E,-41,-52,159,-12,0,99,17.18,56.32
3D6624,815E,-41,-52,164,-12,0,99,17.14,56.39
3D6624,815E,-41,-53,152,-12,0,99,17.07,56.43
3D6624,815E,-41,-52,150,-10,0,99,16.99,56.59
3D6624,815E,-41,-52,157,-10,0,99,16.93,56.73
3D6624,815E,-41,-52,147,-11,0,99,16.89,56.91
3D6624,815E,-41,-52,147,-11,0,99,16.9,57.05
3D6624,815E,-39,-52,192,-12,0,99,16.9,57.08
3D6624,815E,-39,-52,179,-11,0,99,16.92,57.11
3D6624,815E,-39,-52,177,-11,0,99,17.02,57.16
