Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
3D6624,815E,-41,-53,177,-11,0,99,26.56,31.89
3D6624,815E,-38,-49,192,-10,0,99,26.9,31.65
3D6624,815E,-40,-50,192,-10,0,99,26.9,31.14
3D6624,815E,-40,-49,189,-10,0,99,27.01,30.71
3D6624,815E,-40,-49,192,-10,0,99,27.36,30.5
3D6624,815E,-40,-50,179,-11,0,99,27.53,30.28
3D6624,815E,-38,-50,152,-11,0,99,27.55,30.24
3D6624,815E,-40,-50,172,-11,0,99,27.34,30.05
3D6624,815E,-38,-49,182,-11,0,99,26.84,30.14
3D6624,815E,-41,-50,182,-10,0,99,26.62,30.6
3D6624,815E,-39,-50,175,-11,0,99,26.67,31.03
3D6624,815E,-39,-51,164,-11,0,99,26.79,31.15
3D6624,815E,-41,-51,177,-11,0,99,26.84,31.24
3D6624,815E,-39,-51,192,-11,0,99,27.13,31.28
3D6624,815E,-39,-51,189,-11,0,99,26.94,31.11
3D6624,815E,-39,-51,169,-11,0,99,27.28,30.98
3D6624,815E,-39,-51,175,-11,0,99,27.41,30.9
3D6624,815E,-39,-51,172,-11,0,99,27.12,30.64
3D6624,815E,-39,-51,157,-12,0,99,26.92,30.88
3D6624,815E,-39,-52,132,-12,0,99,27.11,31.62
3D6624,815E,-41,-51,192,-11,0,99,27.35,31.21
3D6624,815E,-39,-51,184,-11,0,99,27.23,30.94
3D6624,815E,-39,-51,182,-11,0,99,26.96,30.65
3D6624,815E,-39,-51,177,-11,0,99,26.44,31.13
3D6624,815E,-39,-51,192,-11,0,99,26.09,31.34
3D6624,815E,-39,-50,182,-11,0,99,26.08,31.54
3D6624,815E,-39,-51,152,-11,0,99,26.25,31.62
3D6624,815E,-39,-51,179,-11,0,99,26.5,31.5
3D6624,815E,-39,-51,192,-11,0,99,26.84,31.21
3D6624,815E,-39,-51,169,-11,0,99,26.85,30.91
3D6624,815E,-39,-51,167,-11,0,99,26.85,30.69
3D6624,815E,-39,-51,172,-11,0,99,26.84,30.68
3D6624,815E,-39,-51,184,-11,0,99,27.14,30.61
3D6624,815E,-39,-51,172,-11,0,99,27.59,30.37
3D6624,815E,-39,-52,147,-11,0,99,27.54,30.1
3D6624,815E,-39,-51,159,-11,0,99,27.65,29.81
3D6624,815E,-39,-51,167,-11,0,99,27.61,29.85
3D6624,815E,-39,-50,172,-11,0,99,27.81,29.77
3D6624,815E,-39,-51,169,-11,0,99,28.07,29.54
3D6624,815E,-39,-51,157,-11,0,99,27.76,29.4
3D6624,815E,-41,-51,177,-11,0,99,27.84,29.44
3D6624,815E,-39,-51,192,-11,0,99,28.28,29.47
3D6624,815E,-39,-51,177,-11,0,99,28.44,29.11
3D6624,815E,-39,-51,182,-11,0,99,28.32,29.14
3D6624,815E,-39,-51,152,-12,0,99,28.32,29.18
3D6624,815E,-39,-51,167,-11,0,99,28.27,29.23
3D6624,815E,-39,-51,159,-11,0,99,28.35,29.16
3D6624,815E,-39,-51,162,-11,0,99,28.58,29.06
3D6624,815E,-39,-51,152,-11,0,99,29.03,28.8
3D6624,815E,-39,-51,175,-11,0,99,29.57,28.34
3D6624,815E,-39,-51,162,-11,0,99,29.91,27.77
3D6624,815E,-39,-51,147,-12,0,99,30.12,27.28
3D6624,815E,-39,-51,177,-11,0,99,30.0,27.0
3D6624,815E,-39,-51,192,-11,0,99,30.3,26.9
3D6624,815E,-39,-51,177,-11,0,99,30.31,27.0
3D6624,815E,-39,-50,179,-11,0,99,30.67,26.84
3D6624,815E,-39,-51,192,-11,0,99,30.36,26.69
3D6624,815E,-39,-51,177,-12,0,99,30.75,26.7
3D6624,815E,-39,-51,177,-12,0,99,30.71,26.42
3D6624,815E,-39,-51,147,-11,0,99,30.71,26.53
3D6624,815E,-39,-51,179,-11,0,99,30.85,26.64
3D6624,815E,-39,-51,179,-11,0,99,29.91,26.65
3D6624,815E,-37,-50,144,-12,0,99,29.59,27.0
3D6624,815E,-40,-50,159,-11,0,99,29.77,27.2
3D6624,815E,-40,-50,167,-11,0,99,29.57,27.23
3D6624,815E,-40,-50,159,-10,0,99,29.33,27.45
3D6624,815E,-38,-50,177,-11,0,99,29.57,27.58
3D6624,815E,-38,-50,192,-10,0,99,28.91,27.71
3D6624,815E,-38,-50,179,-10,0,99,28.42,28.11
3D6624,815E,-38,-50,179,-10,0,99,28.47,28.48
3D6624,815E,-38,-50,167,-11,0,99,28.05,28.74
3D6624,815E,-38,-50,162,-11,0,99,28.35,28.97
3D6624,815E,-38,-49,157,-11,0,99,28.61,28.97
3D6624,815E,-42,-51,175,-10,0,99,28.05,28.85
3D6624,815E,-38,-51,197,-10,0,99,27.72,29.36
3D6624,815E,-38,-51,197,-10,0,99,28.02,29.62
3D6624,815E,-41,-51,175,-11,0,99,28.37,29.42
3D6624,815E,-37,-49,187,-10,0,99,28.63,29.09
3D6624,815E,-39,-48,194,-10,0,99,28.71,28.88
3D6624,815E,-42,-52,175,-11,0,99,28.4,28.87
3D6624,815E,-37,-50,192,-10,0,99,28.12,29.04
3D6624,815E,-37,-48,189,-10,0,99,28.52,29.36
3D6624,815E,-41,-51,175,-11,0,99,28.54,29.09
3D6624,815E,-39,-50,200,-10,0,99,28.49,28.92
3D6624,815E,-39,-48,197,-10,0,99,28.38,28.82
3D6624,815E,-39,-50,194,-11,0,99,28.03,28.85
3D6624,815E,-39,-50,200,-10,0,99,27.67,29.05
3D6624,815E,-39,-49,204,-10,0,99,27.27,29.41
3D6624,815E,-37,-48,197,-10,0,99,26.7,30.07
3D6624,815E,-39,-49,179,-10,0,99,26.76,30.66
3D6624,815E,-39,-49,177,-10,0,99,26.59,30.89
3D6624,815E,-39,-49,177,-10,0,99,26.34,31.15
3D6624,815E,-39,-50,169,-11,0,99,25.8,31.52
3D6624,815E,-39,-50,172,-11,0,99,25.5,32.04
3D6624,815E,-39,-51,154,-11,0,99,25.51,32.49
