Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
3D6624,815E,-55,-66,162,-10,0,99,21.24,47.93
3D6624,815E,-60,-72,125,-11,0,99,21.33,47.77
3D6624,815E,-60,-72,134,-11,0,99,21.45,47.36
3D6624,815E,-60,-72,139,-11,0,99,21.44,47.06
3D6624,815E,-62,-71,147,-10,0,99,21.36,46.87
3D6624,815E,-57,-70,144,-10,0,99,21.33,47.15
3D6624,815E,-57,-69,150,-9,0,99,21.43,47.38
3D6624,815E,-59,-69,150,-9,0,99,21.5,47.93
3D6624,815E,-61,-69,154,-10,0,99,21.56,48.23
3D6624,815E,-61,-71,152,-10,0,99,21.65,48.05
3D6624,815E,-59,-71,152,-10,0,99,21.7,47.7
3D6624,815E,-61,-70,157,-10,0,99,21.69,47.47
3D6624,815E,-63,-71,150,-10,0,99,21.68,47.39
3D6624,815E,-58,-68,144,-9,0,99,21.69,47.14
3D6624,815E,-61,-68,152,-9,0,99,21.84,46.74
3D6624,815E,-61,-68,152,-9,0,99,21.96,46.4
3D6624,815E,-61,-68,152,-9,0,99,22.03,46.24
3D6624,815E,-63,-70,150,-9,0,99,22.06,45.94
3D6624,815E,-61,-69,147,-8,0,99,22.11,45.79
3D6624,815E,-61,-68,144,-8,0,99,22.19,45.67
3D6624,815E,-61,-69,150,-8,0,99,22.24,45.68
3D6624,815E,-57,-69,152,-10,0,99,22.26,45.55
3D6624,815E,-59,-69,159,-10,0,99,22.31,45.42
3D6624,815E,-59,-69,144,-10,0,99,22.3,45.18
3D6624,815E,-59,-69,154,-10,0,99,22.38,45.04
3D6624,815E,-59,-69,164,-10,0,99,22.47,44.91
3D6624,815E,-59,-69,164,-10,0,99,22.52,44.65
3D6624,815E,-57,-68,162,-10,0,99,22.53,44.59
3D6624,815E,-57,-68,169,-10,0,99,22.57,44.46
3D6624,815E,-62,-72,134,-9,0,99,22.58,44.27
3D6624,815E,-59,-72,144,-11,0,99,22.63,44.16
3D6624,815E,-59,-72,150,-11,0,99,22.66,44.21
3D6624,815E,-59,-71,147,-11,0,99,22.71,44.12
3D6624,815E,-59,-74,100,-11,0,99,22.75,44.03
3D6624,815E,-57,-69,147,-11,0,99,22.91,43.9
3D6624,815E,-57,-69,154,-11,0,99,22.97,43.77
3D6624,815E,-57,-69,157,-11,0,99,23.02,43.7
3D6624,815E,-59,-69,159,-11,0,99,23.14,43.68
3D6624,815E,-55,-69,150,-11,0,99,23.24,43.74
3D6624,815E,-57,-68,157,-12,0,99,23.27,43.97
3D6624,815E,-59,-68,150,-11,0,99,23.41,44.03
3D6624,815E,-59,-69,144,-10,0,99,23.49,43.68
3D6624,815E,-55,-69,150,-10,0,99,23.62,43.27
3D6624,815E,-58,-68,154,-10,0,99,23.73,42.77
3D6624,815E,-58,-69,137,-10,0,99,23.83,42.42
3D6624,815E,-58,-69,144,-10,0,99,23.88,42.13
3D6624,815E,-58,-69,150,-10,0,99,23.98,41.95
3D6624,815E,-58,-68,152,-9,0,99,24.02,41.76
3D6624,815E,-58,-66,150,-9,0,99,24.04,41.72
3D6624,815E,-58,-66,152,-8,0,99,24.04,41.82
3D6624,815E,-58,-67,154,-8,0,99,24.06,41.62
3D6624,815E,-58,-68,152,-9,0,99,24.06,41.62
3D6624,815E,-58,-67,147,-8,0,99,24.08,41.55
3D6624,815E,-58,-67,154,-9,0,99,23.97,41.43
3D6624,815E,-58,-67,154,-9,0,99,23.74,41.62
3D6624,815E,-57,-67,139,-9,0,99,23.54,41.87
3D6624,815E,-57,-67,144,-10,0,99,23.6,42.25
3D6624,815E,-57,-67,154,-10,0,99,23.7,42.62
3D6624,815E,-57,-67,154,-10,0,99,23.77,42.75
3D6624,815E,-57,-69,144,-11,0,99,23.87,42.56
3D6624,815E,-57,-68,150,-10,0,99,23.92,42.22
3D6624,815E,-59,-67,154,-9,0,99,23.97,41.99
3D6624,815E,-59,-67,154,-9,0,99,24.02,41.96
3D6624,815E,-59,-69,137,-9,0,99,24.06,41.79
3D6624,815E,-59,-69,132,-10,0,99,24.15,41.6
3D6624,815E,-57,-68,142,-9,0,99,24.17,41.61
3D6624,815E,-60,-69,150,-10,0,99,24.18,41.58
3D6624,815E,-57,-67,152,-10,0,99,24.07,41.43
3D6624,815E,-57,-68,157,-10,0,99,23.92,41.41
3D6624,815E,-60,-68,154,-10,0,99,23.81,41.65
3D6624,815E,-60,-68,147,-10,0,99,23.97,41.84
3D6624,815E,-57,-68,154,-9,0,99,24.11,41.7
3D6624,815E,-59,-68,150,-9,0,99,24.31,41.5
3D6624,815E,-59,-68,150,-9,0,99,24.29,41.2
3D6624,815E,-59,-69,152,-11,0,99,24.32,40.96
3D6624,815E,-59,-68,157,-8,0,99,24.37,40.93
3D6624,815E,-59,-68,154,-9,0,99,24.49,40.9
