Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D6624","815E",-43,-45,164,-10,0,99,19.72,68.28
"3D6624","815E",-43,-52,200,-10,0,99,19.73,68.27
"3D6624","815E",-43,-53,207,-10,0,99,19.79,68.27
"3D6624","815E",-47,-53,197,-10,0,99,19.83,68.20
"3D6624","815E",-47,-55,192,-10,0,99,19.88,68.12
"3D6624","815E",-47,-56,175,-11,0,99,19.86,67.99
"3D6624","815E",-44,-57,157,-11,0,99,19.84,67.94
"3D6624","815E",-47,-58,177,-12,0,99,19.86,68.03
"3D6624","815E",-47,-59,177,-11,0,99,19.87,68.26
"3D6624","815E",-47,-58,182,-11,0,99,19.91,68.15
"3D6624","815E",-47,-58,162,-11,0,99,19.88,68.00
"3D6624","815E",-47,-58,154,-11,0,99,19.91,67.86
"3D6624","815E",-47,-59,162,-11,0,99,19.93,67.94
"3D6624","815E",-47,-59,167,-11,0,99,19.95,67.80
"3D6624","815E",-47,-58,162,-11,0,99,19.95,67.59
"3D6624","815E",-47,-58,147,-11,0,99,19.96,67.49
"3D6624","815E",-43,-57,192,-11,0,99,19.98,67.52
"3D6624","815E",-45,-57,177,-11,0,99,20.01,67.61
"3D6624","815E",-43,-56,177,-11,0,99,20.02,67.38
"3D6624","815E",-41,-54,177,-11,0,99,20.05,67.08
"3D6624","815E",-43,-54,192,-11,0,99,20.08,66.95
"3D6624","815E",-46,-55,182,-11,0,99,20.07,66.68
"3D6624","815E",-46,-57,144,-12,0,99,20.17,66.48
"3D6624","815E",-46,-57,159,-11,0,99,20.16,66.40
"3D6624","815E",-46,-58,169,-11,0,99,20.17,66.20
"3D6624","815E",-46,-58,169,-11,0,99,20.24,66.06
"3D6624","815E",-46,-57,157,-11,0,99,20.21,65.94
"3D6624","815E",-44,-57,157,-11,0,99,20.24,65.88
"3D6624","815E",-46,-57,144,-11,0,99,20.27,65.83
"3D6624","815E",-46,-57,159,-11,0,99,20.29,65.78
"3D6624","815E",-46,-58,169,-10,0,99,20.29,65.67
"3D6624","815E",-46,-56,164,-11,0,99,20.32,65.60
"3D6624","815E",-49,-56,169,-10,0,99,20.31,65.53
"3D6624","815E",-46,-56,164,-10,0,99,20.32,65.45
"3D6624","815E",-46,-56,164,-10,0,99,20.32,65.34
"3D6624","815E",-43,-58,147,-11,0,99,20.32,65.28
"3D6624","815E",-43,-56,192,-10,0,99,20.34,65.30
"3D6624","815E",-43,-56,182,-10,0,99,20.33,65.43
"3D6624","815E",-43,-56,179,-11,0,99,20.37,65.59
"3D6624","815E",-47,-56,144,-11,0,99,20.41,65.70
"3D6624","815E",-47,-56,179,-11,0,99,20.43,65.80
"3D6624","815E",-44,-56,179,-11,0,99,20.49,65.77
"3D6624","815E",-44,-56,137,-12,0,99,20.39,65.64
"3D6624","815E",-44,-56,177,-11,0,99,20.40,65.37
"3D6624","815E",-47,-57,192,-11,0,99,20.41,65.25
"3D6624","815E",-47,-57,179,-11,0,99,20.41,65.32
"3D6624","815E",-47,-59,154,-12,0,99,20.47,65.55
"3D6624","815E",-47,-60,137,-12,0,99,20.45,65.98
"3D6624","815E",-49,-60,177,-11,0,99,20.46,65.67
"3D6624","815E",-43,-58,192,-11,0,99,20.39,65.45
"3D6624","815E",-48,-58,187,-11,0,99,20.36,65.29
"3D6624","815E",-45,-57,164,-11,0,99,20.32,65.04
"3D6624","815E",-45,-58,150,-11,0,99,20.29,64.93
"3D6624","815E",-49,-57,172,-11,0,99,20.27,65.05
"3D6624","815E",-42,-56,179,-11,0,99,20.28,65.13
"3D6624","815E",-42,-55,175,-10,0,99,20.20,65.11
"3D6624","815E",-46,-55,159,-11,0,99,20.18,65.09
"3D6624","815E",-44,-57,154,-11,0,99,20.18,65.13
"3D6624","815E",-46,-58,157,-11,0,99,20.15,65.16
"3D6624","815E",-46,-58,159,-11,0,99,20.19,65.19
"3D6624","815E",-46,-55,175,-11,0,99,20.24,65.24
"3D6624","815E",-49,-54,182,-9,0,99,20.29,65.24
"3D6624","815E",0,-50,197,-9,0,99,20.31,65.22
"3D6624","815E",-43,-54,197,-11,0,99,20.31,65.09
"3D6624","815E",-43,-54,200,-10,0,99,20.34,65.09
"3D6624","815E",-43,-53,194,-10,0,99,20.38,65.44
"3D6624","815E",-43,-53,194,-10,0,99,20.41,65.81
"3D6624","815E",-48,-55,189,-10,0,99,20.44,65.89
"3D6624","815E",0,-58,202,-10,0,99,20.40,65.89
"3D6624","815E",-45,-58,194,-10,0,99,20.38,65.82
"3D6624","815E",-42,-55,197,-11,0,99,20.44,65.63
"3D6624","815E",-42,-53,192,-9,0,99,20.44,65.56
"3D6624","815E",-46,-57,200,-10,0,99,20.41,65.51
"3D6624","815E",-45,-53,207,-9,0,99,20.34,65.40
"3D6624","815E",-42,-52,194,-9,0,99,20.29,65.22
"3D6624","815E",-45,-52,169,-8,0,99,20.29,65.12
"3D6624","815E",-45,-52,172,-9,0,99,20.33,65.08
"3D6624","815E",-47,-55,162,-10,0,99,20.24,65.00
"3D6624","815E",-47,-59,154,-12,0,99,20.24,64.89
"3D6624","815E",-45,-58,177,-12,0,99,20.17,64.82
"3D6624","815E",-45,-58,177,-12,0,99,20.14,64.88
