Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D6624","815E",-41,-54,137,-12,0,99,27.28,45.29
"3D6624","815E",-41,-51,197,-11,0,99,27.24,45.36
"3D6624","815E",-41,-51,197,-11,0,99,27.25,45.01
"3D6624","815E",-41,-51,187,-11,0,99,27.27,44.94
"3D6624","815E",-41,-52,175,-11,0,99,27.29,44.77
"3D6624","815E",-41,-52,159,-11,0,99,27.23,44.95
"3D6624","815E",-41,-53,144,-12,0,99,27.31,44.84
"3D6624","815E",-44,-53,177,-11,0,99,27.37,44.80
"3D6624","815E",-41,-53,177,-11,0,99,27.44,44.73
"3D6624","815E",-41,-53,134,-12,0,99,27.37,44.58
"3D6624","815E",-41,-53,144,-12,0,99,27.38,44.52
"3D6624","815E",-43,-53,179,-11,0,99,27.42,44.50
"3D6624","815E",-40,-52,192,-11,0,99,27.38,44.40
"3D6624","815E",-40,-52,182,-11,0,99,27.40,44.64
"3D6624","815E",-38,-51,169,-11,0,99,27.42,44.83
"3D6624","815E",-40,-51,167,-11,0,99,27.36,44.78
"3D6624","815E",-43,-52,167,-11,0,99,27.42,44.53
"3D6624","815E",-41,-52,152,-11,0,99,27.36,44.45
"3D6624","815E",-41,-52,157,-11,0,99,27.36,44.61
"3D6624","815E",-43,-53,179,-11,0,99,27.44,44.48
"3D6624","815E",-40,-54,189,-12,0,99,27.38,44.26
"3D6624","815E",-40,-53,179,-11,0,99,27.38,44.31
"3D6624","815E",-40,-52,182,-11,0,99,27.42,44.42
"3D6624","815E",-42,-52,147,-11,0,99,27.41,44.37
"3D6624","815E",-40,-52,177,-11,0,99,27.37,44.34
"3D6624","815E",-40,-52,177,-11,0,99,27.38,44.44
"3D6624","815E",-40,-53,122,-12,0,99,27.32,44.57
"3D6624","815E",-42,-53,177,-12,0,99,27.32,44.76
"3D6624","815E",-40,-53,189,-12,0,99,27.34,45.08
"3D6624","815E",-40,-53,177,-12,0,99,27.30,45.24
"3D6624","815E",-42,-52,177,-12,0,99,27.30,45.48
"3D6624","815E",-42,-52,192,-11,0,99,27.14,45.28
"3D6624","815E",-40,-52,179,-11,0,99,27.13,45.23
"3D6624","815E",-40,-53,177,-11,0,99,27.07,45.35
"3D6624","815E",-46,-53,177,-11,0,99,27.05,45.31
"3D6624","815E",-43,-54,179,-10,0,99,27.04,45.41
"3D6624","815E",-40,-54,179,-10,0,99,27.04,45.52
"3D6624","815E",-40,-53,137,-11,0,99,27.04,45.58
"3D6624","815E",-43,-53,147,-11,0,99,27.05,45.68
"3D6624","815E",-40,-52,177,-11,0,99,27.05,45.77
"3D6624","815E",-42,-53,167,-10,0,99,27.01,45.74
"3D6624","815E",-40,-52,152,-11,0,99,26.98,45.82
"3D6624","815E",-42,-53,169,-11,0,99,27.02,45.87
"3D6624","815E",-40,-52,179,-11,0,99,27.03,46.08
"3D6624","815E",-40,-53,164,-11,0,99,27.01,46.09
"3D6624","815E",-40,-53,127,-12,0,99,26.96,45.84
"3D6624","815E",-40,-53,189,-11,0,99,26.93,45.86
"3D6624","815E",-43,-53,179,-11,0,99,26.89,45.94
"3D6624","815E",-43,-53,184,-11,0,99,26.86,45.94
"3D6624","815E",-40,-54,150,-12,0,99,26.81,45.99
"3D6624","815E",-40,-53,142,-12,0,99,26.74,46.06
"3D6624","815E",-42,-52,162,-11,0,99,26.72,46.29
"3D6624","815E",-40,-52,172,-11,0,99,26.78,46.61
"3D6624","815E",-40,-52,162,-10,0,99,26.77,46.87
"3D6624","815E",-40,-52,150,-10,0,99,26.76,46.98
"3D6624","815E",-40,-52,182,-10,0,99,26.76,46.87
"3D6624","815E",-40,-52,192,-11,0,99,26.74,46.99
"3D6624","815E",-40,-52,184,-10,0,99,26.74,47.12
"3D6624","815E",-40,-52,187,-11,0,99,26.70,47.15
