Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D6624","815E",-57,-64,154,-10,0,99,22.63,51.30
"3D6624","815E",-53,-64,147,-11,0,99,22.64,51.36
"3D6624","815E",-58,-65,154,-11,0,99,22.65,51.35
"3D6624","815E",-58,-67,122,-11,0,99,22.66,51.29
"3D6624","815E",-58,-67,192,-10,0,99,22.66,51.28
"3D6624","815E",-60,-68,182,-10,0,99,22.72,51.33
"3D6624","815E",-58,-68,117,-10,0,99,22.73,51.36
"3D6624","815E",-54,-67,147,-10,0,99,22.80,51.42
"3D6624","815E",-54,-66,150,-11,0,99,22.83,51.43
"3D6624","815E",-54,-66,134,-11,0,99,22.86,51.35
"3D6624","815E",-57,-67,142,-10,0,99,22.86,51.29
"3D6624","815E",-57,-67,147,-11,0,99,22.86,51.33
"3D6624","815E",-58,-70,117,-10,0,99,22.87,51.43
"3D6624","815E",-60,-70,137,-11,0,99,22.90,51.46
"3D6624","815E",-57,-68,177,-10,0,99,22.88,51.29
"3D6624","815E",-57,-68,137,-11,0,99,22.89,51.06
"3D6624","815E",-57,-68,150,-10,0,99,22.91,50.88
"3D6624","815E",-60,-67,192,-11,0,99,22.85,51.00
"3D6624","815E",-60,-67,179,-11,0,99,22.86,51.29
"3D6624","815E",-58,-69,132,-11,0,99,22.87,51.32
"3D6624","815E",-54,-68,132,-11,0,99,22.91,51.34
"3D6624","815E",-52,-67,132,-11,0,99,22.87,51.21
"3D6624","815E",-50,-66,150,-14,0,99,22.92,51.09
"3D6624","815E",-56,-66,169,-14,0,99,23.02,50.95
"3D6624","815E",-56,-67,159,-13,0,99,23.01,50.87
"3D6624","815E",-56,-67,154,-11,0,99,23.13,51.14
"3D6624","815E",-54,-67,129,-11,0,99,23.11,51.30
"3D6624","815E",-60,-67,134,-9,0,99,23.02,51.27
"3D6624","815E",-55,-65,150,-7,0,99,23.05,50.76
"3D6624","815E",-57,-66,139,-8,0,99,23.04,50.54
"3D6624","815E",-54,-66,134,-9,0,99,23.09,50.43
"3D6624","815E",-54,-66,134,-9,0,99,23.08,50.46
"3D6624","815E",-58,-66,137,-9,0,99,22.92,50.52
"3D6624","815E",-57,-66,144,-9,0,99,22.84,50.88
"3D6624","815E",-57,-66,179,-9,0,99,22.84,51.26
"3D6624","815E",-59,-67,192,-9,0,99,22.83,51.27
"3D6624","815E",-59,-68,177,-10,0,99,22.65,51.35
"3D6624","815E",-59,-68,177,-10,0,99,22.55,51.35
"3D6624","815E",-57,-68,137,-9,0,99,22.55,51.31
"3D6624","815E",-51,-66,177,-9,0,99,22.47,51.31
"3D6624","815E",-60,-66,192,-9,0,99,22.40,51.38
"3D6624","815E",-56,-66,177,-9,0,99,22.38,51.40
"3D6624","815E",-62,-67,177,-10,0,99,22.37,51.64
"3D6624","815E",-55,-68,142,-10,0,99,22.34,51.69
"3D6624","815E",-55,-67,147,-10,0,99,22.30,51.66
"3D6624","815E",-55,-67,147,-10,0,99,22.26,51.76
"3D6624","815E",-55,-67,142,-11,0,99,22.27,51.89
"3D6624","815E",-55,-67,177,-11,0,99,22.22,52.03
"3D6624","815E",-59,-68,177,-10,0,99,22.11,52.30
"3D6624","815E",-60,-69,134,-10,0,99,22.09,52.47
"3D6624","815E",-57,-69,132,-10,0,99,22.08,52.66
"3D6624","815E",-55,-67,134,-10,0,99,22.05,52.72
"3D6624","815E",-57,-67,134,-10,0,99,22.02,52.50
"3D6624","815E",-57,-66,132,-11,0,99,22.00,52.54
"3D6624","815E",-54,-66,137,-11,0,99,21.99,52.62
"3D6624","815E",-54,-66,142,-11,0,99,21.93,52.57
"3D6624","815E",-57,-66,144,-11,0,99,21.99,52.58
"3D6624","815E",-57,-66,142,-10,0,99,21.93,52.55
"3D6624","815E",-57,-67,134,-11,0,99,21.93,52.50
"3D6624","815E",-57,-67,147,-11,0,99,21.91,52.44
"3D6624","815E",-57,-68,157,-10,0,99,21.94,52.47
"3D6624","815E",-59,-68,150,-10,0,99,21.95,52.50
"3D6624","815E",-61,-68,150,-9,0,99,21.97,52.66
"3D6624","815E",-56,-68,152,-9,0,99,22.05,52.67
"3D6624","815E",-56,-67,162,-11,0,99,22.01,52.56
"3D6624","815E",-56,-67,157,-11,0,99,22.12,52.61
"3D6624","815E",-62,-68,152,-11,0,99,22.12,52.47
"3D6624","815E",-62,-68,142,-9,0,99,22.14,52.36
"3D6624","815E",-57,-68,134,-9,0,99,22.23,52.38
"3D6624","815E",-55,-67,137,-9,0,99,22.25,52.38
"3D6624","815E",-55,-67,159,-10,0,99,22.36,52.28
"3D6624","815E",-60,-67,150,-10,0,99,22.39,52.20
"3D6624","815E",-60,-68,147,-9,0,99,22.48,52.07
"3D6624","815E",-56,-68,132,-9,0,99,22.58,51.95
"3D6624","815E",-56,-68,132,-9,0,99,22.62,51.89
"3D6624","815E",-58,-68,132,-11,0,99,22.73,51.81
"3D6624","815E",-55,-67,134,-10,0,99,22.84,51.67
"3D6624","815E",-55,-68,132,-11,0,99,22.72,51.50
"3D6624","815E",-55,-67,129,-11,0,99,22.69,51.50
"3D6624","815E",-55,-67,177,-10,0,99,22.63,51.76
"3D6624","815E",-58,-67,177,-10,0,99,22.51,51.97
"3D6624","815E",-60,-68,177,-10,0,99,22.48,52.08
"3D6624","815E",-60,-69,127,-9,0,99,22.42,52.54
"3D6624","815E",-60,-70,129,-9,0,99,22.38,52.36
"3D6624","815E",-54,-67,137,-9,0,99,22.35,52.27
