Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D6624","815E",-30,-44,200,-11,0,99,32.58,37.64
"3D6624","815E",-30,-44,187,-10,0,99,32.88,37.49
"3D6624","815E",-30,-44,192,-10,0,99,33.16,36.85
"3D6624","815E",-30,-44,187,-10,0,99,33.36,36.33
"3D6624","815E",-30,-44,194,-10,0,99,33.68,35.93
"3D6624","815E",-30,-44,202,-10,0,99,33.86,35.54
"3D6624","815E",-30,-44,197,-10,0,99,34.23,35.22
"3D6624","815E",-30,-44,172,-11,0,99,34.38,34.87
"3D6624","815E",-30,-44,172,-11,0,99,34.57,34.49
"3D6624","815E",-30,-44,182,-11,0,99,34.71,34.22
"3D6624","815E",-30,-44,200,-10,0,99,34.83,34.01
"3D6624","815E",-30,-44,197,-10,0,99,35.04,33.83
"3D6624","815E",-30,-44,194,-10,0,99,34.83,33.60
"3D6624","815E",-30,-44,182,-10,0,99,34.81,33.72
"3D6624","815E",-30,-44,177,-10,0,99,34.42,33.82
"3D6624","815E",-30,-44,164,-11,0,99,33.95,34.03
"3D6624","815E",-30,-44,172,-10,0,99,33.66,34.48
"3D6624","815E",-30,-44,189,-10,0,99,33.52,34.90
"3D6624","815E",-30,-44,194,-10,0,99,33.56,34.96
"3D6624","815E",-30,-44,197,-10,0,99,33.49,35.04
"3D6624","815E",-30,-44,200,-10,0,99,33.51,35.26
"3D6624","815E",-30,-44,169,-10,0,99,33.63,35.28
"3D6624","815E",-30,-44,164,-11,0,99,33.80,35.14
"3D6624","815E",-30,-44,167,-11,0,99,33.63,35.14
"3D6624","815E",-30,-44,167,-11,0,99,33.80,35.35
"3D6624","815E",-30,-44,169,-11,0,99,33.96,35.31
"3D6624","815E",-30,-44,200,-10,0,99,34.11,35.07
"3D6624","815E",-30,-44,197,-10,0,99,34.45,34.81
"3D6624","815E",-30,-44,197,-10,0,99,34.60,34.42
"3D6624","815E",-30,-44,187,-10,0,99,34.57,34.20
"3D6624","815E",-30,-44,175,-10,0,99,34.84,34.15
"3D6624","815E",-30,-44,172,-10,0,99,35.26,33.94
"3D6624","815E",-30,-44,179,-10,0,99,35.55,33.84
"3D6624","815E",-30,-44,189,-10,0,99,35.80,33.67
"3D6624","815E",-30,-44,200,-10,0,99,36.09,33.36
"3D6624","815E",-30,-44,189,-10,0,99,36.00,32.85
"3D6624","815E",-30,-44,175,-10,0,99,36.11,32.68
"3D6624","815E",-30,-44,164,-10,0,99,36.00,32.41
"3D6624","815E",-30,-44,172,-10,0,99,36.29,32.26
"3D6624","815E",-30,-44,182,-10,0,99,36.63,32.00
"3D6624","815E",-30,-44,187,-10,0,99,36.80,31.76
"3D6624","815E",-30,-44,192,-10,0,99,37.00,31.35
"3D6624","815E",-30,-44,202,-10,0,99,37.16,31.44
"3D6624","815E",-30,-44,194,-10,0,99,37.18,31.24
"3D6624","815E",-30,-44,187,-10,0,99,37.09,31.01
"3D6624","815E",-30,-44,169,-10,0,99,37.36,30.97
"3D6624","815E",-30,-44,169,-10,0,99,37.55,30.74
"3D6624","815E",-30,-44,167,-10,0,99,37.61,30.52
"3D6624","815E",-30,-44,175,-10,0,99,37.36,30.39
"3D6624","815E",-30,-44,175,-10,0,99,37.60,30.46
"3D6624","815E",-30,-44,197,-10,0,99,37.78,30.46
"3D6624","815E",-30,-44,200,-8,0,99,37.90,30.67
"3D6624","815E",-30,-44,202,-10,0,99,38.03,30.84
"3D6624","815E",-30,-44,200,-10,0,99,38.31,30.68
"3D6624","815E",-30,-44,175,-10,0,99,38.43,30.23
"3D6624","815E",-30,-44,202,-10,0,99,38.63,29.69
"3D6624","815E",-30,-44,202,-10,0,99,38.59,29.36
"3D6624","815E",-30,-44,175,-10,0,99,38.50,29.25
"3D6624","815E",-30,-44,184,-10,0,99,38.37,29.72
"3D6624","815E",-30,-44,172,-10,0,99,38.34,29.50
"3D6624","815E",-30,-44,194,-10,0,99,38.46,29.41
"3D6624","815E",-30,-44,197,-10,0,99,38.63,29.38
"3D6624","815E",-30,-44,202,-10,0,99,38.51,29.34
"3D6624","815E",-30,-44,175,-9,0,99,38.56,29.52
"3D6624","815E",-30,-44,204,-10,0,99,38.03,29.44
"3D6624","815E",-30,-44,200,-10,0,99,37.60,29.45
"3D6624","815E",-30,-44,194,-10,0,99,37.68,29.78
"3D6624","815E",-30,-44,182,-10,0,99,37.63,29.78
"3D6624","815E",-30,-44,167,-10,0,99,37.58,29.69
"3D6624","815E",-30,-44,184,-10,0,99,37.80,29.66
"3D6624","815E",-30,-44,192,-10,0,99,38.00,29.57
"3D6624","815E",-30,-44,197,-10,0,99,38.15,29.47
"3D6624","815E",-30,-44,197,-10,0,99,38.28,29.33
"3D6624","815E",-30,-44,204,-10,0,99,38.29,29.20
"3D6624","815E",-30,-44,202,-10,0,99,38.23,29.20
"3D6624","815E",-30,-44,172,-11,0,99,38.21,29.21
"3D6624","815E",-30,-44,167,-11,0,99,37.96,29.33
"3D6624","815E",-30,-44,164,-11,0,99,37.08,29.65
"3D6624","815E",-30,-44,167,-11,0,99,35.84,30.53
"3D6624","815E",-30,-44,164,-11,0,99,35.28,31.76
"3D6624","815E",-30,-44,164,-11,0,99,35.25,32.24
"3D6624","815E",-30,-44,167,-11,0,99,34.93,32.61
"3D6624","815E",-30,-44,172,-11,0,99,34.46,33.04
"3D6624","815E",-30,-44,172,-11,0,99,34.16,33.43
"3D6624","815E",-30,-44,175,-10,0,99,33.88,33.70
"3D6624","815E",-30,-44,187,-10,0,99,33.56,34.26
"3D6624","815E",-30,-44,202,-10,0,99,33.81,34.67
"3D6624","815E",-30,-44,189,-10,0,99,33.96,34.71
"3D6624","815E",-30,-44,179,-10,0,99,34.12,34.66
"3D6624","815E",-30,-44,175,-10,0,99,34.59,34.35
"3D6624","815E",-30,-44,167,-11,0,99,34.11,33.98
"3D6624","815E",-30,-44,167,-11,0,99,33.73,34.22
"3D6624","815E",-30,-44,167,-11,0,99,34.35,34.49
"3D6624","815E",-30,-44,172,-10,0,99,34.82,34.14
"3D6624","815E",-30,-44,179,-10,0,99,35.20,33.62
"3D6624","815E",-30,-44,192,-10,0,99,34.51,33.08
"3D6624","815E",-30,-44,200,-10,0,99,34.64,33.37
"3D6624","815E",-30,-44,202,-10,0,99,34.88,33.37
"3D6624","815E",-30,-44,207,-10,0,99,35.18,33.14
"3D6624","815E",-30,-44,204,-10,0,99,35.38,32.76
"3D6624","815E",-30,-44,204,-10,0,99,35.46,32.41
